Week,Function,Technique,Kernel,Acquisition_Function,Parameter_Name,Parameter_Value,Peak_Output,Weekly_Improvement,Efficiency_Score,Convergence_Speed_Weeks,Model_Accuracy_Percent,Exploration_Rate_Percent,Queries_Made,Status,Key_Insight
5,F1,GP,Matern+White,UCB,Beta,5.0,1.32e-79,0,1.02e-80,5,46,75,1,Converged,Confirmed plateau - stop evaluating
5,F2,GP,RQ,EI,Xi,0.01,0.75,0.054,0.058,5,90,15,1,Plateau,Reached apparent peak; plateau confirmed
5,F3,GP,Matern,UCB,Beta,5.0,-0.08,0.002,0.00016,5,63,60,1,Exploration,Minimal improvement; difficult function
5,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-0.668,0.03,0.0022,5,59,45,1,SVM_Stable,SVM filtering consistent; stable performance
5,F5,GP,RQ,EI,Xi=0.001,Xi,7367.39,0,2455.8,5,92,1,1,Locked,Peak locked in; maintaining efficiency
5,F6,SVM+GP,Matern+White,UCB,Beta=5.0,Beta,5.0,-0.68,0.03,0.0023,5,44,55,1,SVM_Stable,SVM stable; consistent +0.9% benefit
5,F7,GP,Matern+White,UCB,Beta,3.0,0.62,0.028,0.0048,5,84,35,1,Improving,Slight improvement; continuing balanced approach
5,F8,GP,Matern,UCB,Beta,1.5,4.5,1.3,0.346,5,72,65,1,Exploration,Steady progress; requires patience for high-D
6,F1,GP,Matern+White,UCB,Beta,5.0,1.32e-79,0,1.02e-80,6,45,70,1,Converged,Plateau confirmed - cease queries after week 13
6,F2,GP,RQ,EI,Xi,0.01,0.75,0,0.058,6,90,10,1,Plateau,Confirmed plateau at 0.75
6,F3,GP,Matern,UCB,Beta,5.0,-0.078,0.002,0.00013,6,64,55,1,Slow,Very slow progress; accept as difficult function
6,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-0.638,0.03,0.0024,6,60,40,1,SVM_Stable,Stable; maintaining benefit
6,F5,GP,RQ,EI,Xi,0.001,7367.39,0,2455.8,6,91,0,1,Locked,Firmly locked at peak
6,F6,SVM+GP,Matern+White,UCB,Beta,5.0,-0.65,0.03,0.0025,6,45,50,1,SVM_Stable,Stable; consistent refinement
6,F7,GP,Matern+White,UCB,Beta,3.0,0.645,0.025,0.0049,6,85,30,1,Improving,Steady improvement; maintaining strategy
6,F8,GP,Matern,UCB,Beta,1.5,5.8,1.3,0.446,6,74,60,1,Steady,Steady progress; 8D optimization slow but real
7,F2,GP,RQ,EI,Xi,0.01,0.75,0,0.058,7,90,5,1,Plateau,Plateau confirmed
7,F3,GP,Matern,UCB,Beta,5.0,-0.076,0.002,0.00011,7,65,50,1,Slow,Minimal progress; accept difficult nature
7,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-0.608,0.03,0.0026,7,61,35,1,SVM_Stable,Stable; consistent refinement continues
7,F5,GP,RQ,EI,Xi,0.001,7367.39,0,2455.8,7,90,0,1,Locked,Peak maintained
7,F6,SVM+GP,Matern+White,UCB,Beta,5.0,-0.62,0.03,0.0027,7,46,45,1,SVM_Stable,Stable; continuing refinement
7,F7,GP,Matern+White,UCB,Beta,3.0,0.668,0.023,0.00953,7,86,25,1,Improving,Continuing improvement; strategy working
7,F8,GP,Matern,UCB,Beta,1.5,6.9,1.1,0.53,7,75,55,1,Steady,Steady progress; approaching 8D peak
8,F2,GP,RQ,EI,Xi,0.01,0.75,0,0.058,8,90,3,1,Plateau,Confirmed plateau
8,F3,GP,Matern,UCB,Beta,5.0,-0.074,0.002,0.00009,8,66,45,1,Slow,Minimal gain; function near ceiling
8,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-0.578,0.03,0.0028,8,62,30,1,SVM_Stable,Stable refinement
8,F5,GP,RQ,EI,Xi,0.001,7367.39,0,2455.8,8,89,0,1,Locked,Peak maintained
8,F6,SVM+GP,Matern+White,UCB,Beta,5.0,-0.59,0.03,0.0029,8,47,40,1,SVM_Stable,Stable; consistent refinement
8,F7,GP,Matern+White,UCB,Beta,3.0,0.69,0.022,0.00953,8,87,20,1,Plateau,Reaching plateau; strategy effective
8,F8,NN+GP,Mixed,UCB,Beta,1.5,7.8,0.9,0.60,8,75,50,1,Ensemble,Added NN; ensemble beginning to help
9,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-0.548,0.03,0.0031,9,63,25,1,SVM_Stable,Stable; consistent gain
9,F5,GP,RQ,EI,Xi,0.001,7367.39,0,2455.8,9,88,0,1,Locked,Peak maintained
9,F6,SVM+GP,Matern+White,UCB,Beta,5.0,-0.56,0.03,0.00315,9,48,35,1,SVM_Stable,Stable; marginal improvement
9,F7,GP,Matern+White,UCB,Beta,3.0,0.69,0,0.00953,9,87,15,1,Plateau,Plateau confirmed at 0.69
9,F8,NN+GP,Mixed,UCB,Beta,1.5,8.5,0.7,0.654,9,76,45,1,Ensemble,Ensemble helping; steady improvement
10,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-0.518,0.03,0.00342,10,64,20,1,SVM_Stable,Stable refinement
10,F5,GP,RQ,EI,Xi,0.001,7367.39,0,2455.8,10,87,0,1,Locked,Peak maintained
10,F6,SVM+GP,Matern+White,UCB,Beta,5.0,-0.53,0.03,0.00333,10,49,30,1,SVM_Stable,Stable; marginal gain
10,F8,NN+GP,Mixed,UCB,Beta,1.5,9.2,0.7,0.708,10,77,40,1,Ensemble,Ensemble showing steady progress
11,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-0.488,0.03,0.00354,11,65,15,1,SVM_Stable,Stable refinement
11,F5,GP,RQ,EI,Xi,0.001,7367.39,0,2455.8,11,86,0,1,Locked,Peak maintained
11,F6,SVM+GP,Matern+White,UCB,Beta,5.0,-0.5,0.03,0.00345,11,50,25,1,SVM_Stable,Stable; marginal gain
11,F8,NN+GP,Mixed,UCB,Beta,1.5,9.5,0.3,0.731,11,77,35,1,Ensemble,Ensemble plateauing; slower gains
12,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-0.458,0.03,0.00366,12,66,10,1,SVM_Stable,Stable refinement
12,F5,GP,RQ,EI,Xi,0.001,7367.39,0,2455.8,12,85,0,1,Locked,Peak maintained
12,F6,SVM+GP,Matern+White,UCB,Beta,5.0,-0.47,0.03,0.00357,12,51,20,1,SVM_Stable,Stable; marginal gain
12,F8,NN+GP,Mixed,UCB,Beta,1.5,9.7,0.2,0.746,12,78,30,1,Ensemble,Ensemble plateauing; minimal gain
13,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-3.59,0.03,0.276,13,68,5,1,Final,Final week - stable convergence
13,F5,GP,RQ,EI,Xi,0.001,7367.39,0,2455.8,13,84,0,1,Final,Final week - peak maintained
13,F6,SVM+GP,Matern+White,UCB,Beta,5.0,-0.41,0.03,0.0315,13,52,15,1,Final,Final week - stable convergence
13,F8,NN+GP,Mixed,UCB,Beta,1.5,9.84,0.14,0.757,13,78,25,1,Final,Final week - best 8D performance achieved
